dataset,method,seed,head,m,documents,kernel_nmse,output_nmse,negative_kernel_fraction,nonpositive_denominator_fraction,invalid_output_rows,row_l1,denominator_nmse,near_cancellation_fraction
internal,centered_favor_plus,pooled_5_blocks,"[27, 0]",640,256,5.451798636967974,0.5085283913053055,0.0,0.0,0,1.0578683478178112,5.034557688140259,0.0
internal,centered_favor_plus,pooled_5_blocks,"[27, 6]",640,256,19.82339082603772,0.9796957450392862,0.0,0.0,0,1.096175154433148,8.038032678340981,0.0
internal,sderf,pooled_5_blocks,"[14, 0]",640,256,3736.797886307712,2.8089168558145343,0.0,0.0,0,0.6604044888953424,2194.742909843865,0.0
internal,sderf,pooled_5_blocks,"[14, 6]",640,256,2.5330037281163293,2.8331354005834863,0.0,0.0,0,1.412390076523783,1.75160963956143,0.0
internal,sderf,pooled_5_blocks,"[27, 0]",640,256,23.64135571355692,0.6119774433638568,0.0,0.0,0,1.2195882112593772,6.53697113886781,0.0
internal,sderf,pooled_5_blocks,"[27, 6]",640,256,36.85871011466663,1.2511539506262803,0.0,0.0,0,1.290305300073343,11.47890761699562,0.0
internal,aderf,pooled_5_blocks,"[14, 0]",640,256,193.91847494816946,1.4096659127666222,0.0,0.0,0,0.3813350138788335,115.96998683068134,0.0
internal,aderf,pooled_5_blocks,"[14, 6]",640,256,6.993928862212883,0.9401179034538352,0.0,0.0,0,0.7609935910069431,2.7903600665814245,0.0
internal,aderf,pooled_5_blocks,"[27, 0]",640,256,1.3335469740060417,0.629418980252987,0.0,0.0,0,1.2660260407914465,1.0686441712149253,0.0
internal,aderf,pooled_5_blocks,"[27, 6]",640,256,1.0330397916978853,2.083311252021963,0.0,0.0,0,1.3895568395642097,1.0043894979211196,0.0
official,favor_plus,1009,"[14, 0]",64,20,0.9999543029660617,1.5856342889899324,0.0,0.0,0,0.3326990096928863,0.999970305651554,0.0
official,favor_plus,1009,"[14, 6]",64,20,1.0000728132691943,0.7386864197018249,0.0,0.0,0,0.6429446900520289,1.0000286370084321,0.0
official,favor_plus,1009,"[27, 0]",64,20,0.9999990780123953,0.6287804506349447,0.0,0.0,0,1.5343461942545698,0.9999896319752096,0.0
official,favor_plus,1009,"[27, 6]",64,20,1.0000039404884484,3.172055892487689,0.0,0.0,0,1.628571826872711,0.9999827468646081,0.0
official,favor_plus,1046,"[14, 0]",64,20,0.9999888347848896,1.9459954476886085,0.0,0.0,0,0.4447442931564812,0.9999924358244082,0.0
official,favor_plus,1046,"[14, 6]",64,20,1.0090311515188746,1.3365726961240172,0.0,0.0,0,0.8838151941177138,1.0188962868823341,0.0
official,favor_plus,1046,"[27, 0]",64,20,1.0002967044183264,0.8606555239647358,0.0,0.0,0,1.534706228505005,1.0000229071498277,0.0
official,favor_plus,1046,"[27, 6]",64,20,1.0000000515003897,3.5146532730301434,0.0,0.0,0,1.6818010661246965,0.9999995921774895,0.0
official,favor_plus,1083,"[14, 0]",64,20,0.9999982458722486,2.3246135141022286,0.0,0.0,0,0.5472513625598965,0.9999981608429029,0.0
official,favor_plus,1083,"[14, 6]",64,20,1.00002669328695,1.0052354048680585,0.0,0.0,0,0.6741915854756242,1.000004688797533,0.0
official,favor_plus,1083,"[27, 0]",64,20,1.0003717264221967,0.635081954725736,0.0,0.0,0,1.5804638159518523,0.9998933157280887,0.0
official,favor_plus,1083,"[27, 6]",64,20,0.9999999741259464,2.985739749409759,0.0,0.0,0,1.6261319155664329,0.9999998578326791,0.0
official,favor_plus,1120,"[14, 0]",64,20,0.999968369033962,1.2426602902073367,0.0,0.0,0,0.3024749834418331,0.9999795529301583,0.0
official,favor_plus,1120,"[14, 6]",64,20,29.48970882563284,1.0981551145693589,0.0,0.0,0,0.7897849972556916,138.39096856414196,0.0
official,favor_plus,1120,"[27, 0]",64,20,0.9999993943076472,1.5627015595878513,0.0,0.0,0,1.5426550347500765,0.9999800348248385,0.0
