dataset,head,method,m,realizations,mean,median,minimum,maximum,std
official,"[14, 6]",sderf,64,5,131.7564088945955,2.2885965824899968,1.1864711071715222,649.6839793260426,289.5325125528078
official,"[14, 6]",sderf,128,5,41.386302176294265,2.0194764945539467,1.3859739644573368,199.44601555879922,88.35870825140415
official,"[14, 6]",sderf,640,1,9.040022568709098,9.040022568709098,9.040022568709098,9.040022568709098,
official,"[14, 6]",aderf,16,5,35.989023724388915,1.0237359276926146,1.0082368994998865,172.11172728289182,76.11247049767019
official,"[14, 6]",aderf,32,5,10.18533119180937,1.9461853814847114,1.0250747650052539,44.684610280130634,19.290961037580487
official,"[14, 6]",aderf,64,5,942.4741168798383,1.6388589814586763,1.0140778368694574,4706.786385378406,2104.3145491941095
official,"[14, 6]",aderf,128,5,258.5064690363264,12.13637363885533,1.1054464100014978,1177.6387912915102,515.4452302156358
official,"[14, 6]",aderf,640,1,52.498076374893415,52.498076374893415,52.498076374893415,52.498076374893415,
official,"[14, 6]",partition,16,1,0.9457748284436219,0.9457748284436219,0.9457748284436219,0.9457748284436219,
official,"[14, 6]",partition,32,1,0.9456397524837092,0.9456397524837092,0.9456397524837092,0.9456397524837092,
official,"[14, 6]",partition,64,1,0.9455909776172428,0.9455909776172428,0.9455909776172428,0.9455909776172428,
official,"[14, 6]",partition,128,1,0.9455365854293832,0.9455365854293832,0.9455365854293832,0.9455365854293832,
official,"[14, 6]",galerkin,16,1,0.9439715268360386,0.9439715268360386,0.9439715268360386,0.9439715268360386,
official,"[14, 6]",galerkin,32,1,0.9433408405313458,0.9433408405313458,0.9433408405313458,0.9433408405313458,
official,"[14, 6]",galerkin,64,1,0.9426877497351346,0.9426877497351346,0.9426877497351346,0.9426877497351346,
official,"[14, 6]",galerkin,128,1,0.9422941246728548,0.9422941246728548,0.9422941246728548,0.9422941246728548,
official,"[27, 0]",favor_plus,16,5,1.0002530067163542,0.9999999990611937,0.9999998922168709,1.0011448536286953,0.0005012775823591018
official,"[27, 0]",favor_plus,32,5,1.0013624741334874,1.0002745135892486,0.9999998698653563,1.0045872654440366,0.001977523248887977
official,"[27, 0]",favor_plus,64,5,1.0087518660669614,1.0004802998837348,0.999997592396731,1.0422522719171303,0.01873130104300269
official,"[27, 0]",favor_plus,128,5,1.0025484324673908,1.000159512219204,1.000014434019248,1.0105589156858916,0.004545525857998797
official,"[27, 0]",favor_plus,640,1,1.0004566933432886,1.0004566933432886,1.0004566933432886,1.0004566933432886,
official,"[27, 0]",centered_favor_plus,16,5,306087.12464995903,22.142481043925375,1.3853451482933041,1528567.7747573634,683387.9160896944
official,"[27, 0]",centered_favor_plus,32,5,76525.1181059867,10.314821349621798,3.200678441975714,382142.60676870693,170845.48214739998
official,"[27, 0]",centered_favor_plus,64,5,19359.258932997884,457.70595125574783,35.29769171665069,95537.23081718411,42585.51115759775
official,"[27, 0]",centered_favor_plus,128,5,4868.526224606036,141.88950652346853,11.156598917443732,23887.808876716266,10632.60389528664
official,"[27, 0]",centered_favor_plus,640,1,974.3995411693191,974.3995411693191,974.3995411693191,974.3995411693191,
official,"[27, 0]",sderf,16,5,903.9006926547042,319.08424677594115,13.51970640351773,3518.9151843299537,1469.7966996935468
official,"[27, 0]",sderf,32,5,234.35610572393963,93.70691265761245,6.708126968431457,881.6524369229791,363.97939706194927
official,"[27, 0]",sderf,64,5,411.0355413926864,238.5520494084899,12.699901796709412,1523.0323742693813,632.072445013484
official,"[27, 0]",sderf,128,5,2882.6658225090446,334.34669602939897,46.57632875020426,13542.80235815912,5961.422006149407
official,"[27, 0]",sderf,640,1,576.8759365371419,576.8759365371419,576.8759365371419,576.8759365371419,
official,"[27, 0]",aderf,16,5,24.711609299234624,7.950652211602781,1.5779163810471046,88.28437640796719,36.590681783303445
official,"[27, 0]",aderf,32,5,6.961693998673024,2.7378824699713182,1.1444881664874507,22.908436651023813,9.17518024188348
official,"[27, 0]",aderf,64,5,2.5792182410067825,1.8578700159462158,1.0552629844592363,6.473083300766421,2.2468291614266644
official,"[27, 0]",aderf,128,5,15.824837532599162,2.571731886608846,1.2375568351927735,65.4638390838545,27.908942879236605
official,"[27, 0]",aderf,640,1,3.9576120621639888,3.9576120621639888,3.9576120621639888,3.9576120621639888,
official,"[27, 0]",partition,16,1,0.7124067325599851,0.7124067325599851,0.7124067325599851,0.7124067325599851,
official,"[27, 0]",partition,32,1,0.7018858997386903,0.7018858997386903,0.7018858997386903,0.7018858997386903,
official,"[27, 0]",partition,64,1,0.6879134529527817,0.6879134529527817,0.6879134529527817,0.6879134529527817,
official,"[27, 0]",partition,128,1,0.679045336596267,0.679045336596267,0.679045336596267,0.679045336596267,
official,"[27, 0]",galerkin,16,1,0.4378588618933074,0.4378588618933074,0.4378588618933074,0.4378588618933074,
official,"[27, 0]",galerkin,32,1,0.409037677707987,0.409037677707987,0.409037677707987,0.409037677707987,
official,"[27, 0]",galerkin,64,1,0.38382153232467886,0.38382153232467886,0.38382153232467886,0.38382153232467886,
official,"[27, 0]",galerkin,128,1,0.3743988252137313,0.3743988252137313,0.3743988252137313,0.3743988252137313,
official,"[27, 6]",favor_plus,16,5,1.0000043580630067,0.9999999889511721,0.9999988087528104,1.0000232625292385,1.0579093160359543e-05
official,"[27, 6]",favor_plus,32,5,1.0000011778570146,0.9999999937017134,0.9999998539535071,1.0000053591396418,2.3601633193020358e-06
official,"[27, 6]",favor_plus,64,5,1.0000766149844915,1.0000004506000615,0.9999998598485275,1.0002371102654575,0.00010963904486784003
official,"[27, 6]",favor_plus,128,5,1.0035087137903569,1.000043357932818,0.9999997704034751,1.017385732867809,0.007757533053453323
