dataset,n,head,method,seed,m,log_nmse,nmse,log_cross_over_energy,log_prediction_energy_ratio
internal,131072,"[14, 6]",sderf,1083,128,2.2415947422911615,9.408323181027834,-4.968221311831536,2.1308751372926817
internal,131072,"[14, 6]",sderf,1120,16,5.079791762095972,160.74058016176141,-4.048860535409867,5.073769483609274
internal,131072,"[14, 6]",sderf,1120,32,13.463242618818773,703091.7109438835,-1.0405665702687408,13.46324220138945
internal,131072,"[14, 6]",sderf,1120,64,12.076957180558507,175774.49614012815,-1.730889029392534,12.076953506831872
internal,131072,"[14, 6]",sderf,1120,128,10.690856642373229,43952.14214267564,-2.377624508957071,10.690838111623128
internal,131072,"[14, 6]",sderf,1157,16,5.093215090751455,162.91280039375872,-3.8756173895379096,5.087314094482712
internal,131072,"[14, 6]",sderf,1157,32,8.329647140603964,4144.954707975738,-4.345826214740326,8.329412109596005
internal,131072,"[14, 6]",sderf,1157,64,7.600323538311844,1998.8424926246491,-3.7283382565258147,7.599847181983774
internal,131072,"[14, 6]",sderf,1157,128,8.759737413165915,6372.438039946167,-2.042176768662385,8.759621201588585
internal,131072,"[14, 6]",aderf,1009,16,1.6250335595701388,5.078589469599757,-6.562186974390599,1.4064437554363973
internal,131072,"[14, 6]",aderf,1009,32,5.195624384551217,180.48079704503004,-3.5371932617618427,5.190392380966278
internal,131072,"[14, 6]",aderf,1009,64,4.374958910555334,79.43657548042965,-2.301864668641562,4.364838761047368
internal,131072,"[14, 6]",aderf,1009,128,7.42341471227324,1674.7425187156337,-1.8132443531855582,7.4230123295404145
internal,131072,"[14, 6]",aderf,1046,16,0.4678481863712555,1.5965550054790463,-4.34722529904939,-0.47410747018747124
internal,131072,"[14, 6]",aderf,1046,32,3.7181603760110717,41.18855292034323,-4.573159958668217,3.6940959117512353
internal,131072,"[14, 6]",aderf,1046,64,2.8550189874153546,17.374767106444025,-4.746324681063154,2.79680159839325
internal,131072,"[14, 6]",aderf,1046,128,5.419625425785586,225.79452985127153,-2.4422561072255267,5.415960208862499
internal,131072,"[14, 6]",aderf,1083,16,5.507382081587464,246.50495176754885,-3.108201020747982,5.503681045740544
internal,131072,"[14, 6]",aderf,1083,32,4.264782557460013,71.1494473746995,-3.019988258074381,4.252018328079616
internal,131072,"[14, 6]",aderf,1083,64,3.565299498557732,35.35003910472719,-3.274218805053021,3.5388043065808237
internal,131072,"[14, 6]",aderf,1083,128,4.469028664275673,87.27191150451043,-1.6573167362045371,4.46191407515183
internal,131072,"[14, 6]",aderf,1120,16,7.9313785645399655,2783.261066032369,-0.9183386649791139,7.931306115722018
internal,131072,"[14, 6]",aderf,1120,32,6.552512717353538,701.00338606176,-1.3781923286239781,6.551805006024738
internal,131072,"[14, 6]",aderf,1120,64,10.909040322790235,54668.35614708275,0.16029513341663382,10.909064975039025
internal,131072,"[14, 6]",aderf,1120,128,9.556188541067636,14131.880339048703,-0.5129983603484547,9.556202509072117
internal,131072,"[14, 6]",aderf,1157,16,6.533162196237546,687.5690055669361,-3.170232125348873,6.531829060196101
internal,131072,"[14, 6]",aderf,1157,32,5.151368312657321,172.66759200119978,-3.8342690998304523,5.145811819302525
internal,131072,"[14, 6]",aderf,1157,64,3.810782875696484,45.18579988742871,-4.01296142160103,3.7892214855176736
internal,131072,"[14, 6]",aderf,1157,128,3.1504849194638167,23.347383437011906,-3.6552281516461758,3.1090205398583475
internal,131072,"[27, 0]",favor_plus,1009,16,-1.7436369675812978e-09,0.999999998256363,-20.8159711625191,-23.257945364829528
internal,131072,"[27, 0]",favor_plus,1009,32,-4.821734673649102e-08,0.9999999517826544,-15.878937724383713,-15.396271233406026
internal,131072,"[27, 0]",favor_plus,1009,64,0.00014425904217142004,1.0001442694480074,-12.97757799438277,-8.812285223452925
internal,131072,"[27, 0]",favor_plus,1009,128,0.013061000100662794,1.013146667523587,-9.023408143590721,-4.313413179392697
internal,131072,"[27, 0]",favor_plus,1046,16,6.367713624222779e-07,1.0000006367715653,-16.509774675618033,-14.074338578993999
internal,131072,"[27, 0]",favor_plus,1046,32,0.1653000459486459,1.17974704393278,-10.923447338750325,-1.7160041275615239
internal,131072,"[27, 0]",favor_plus,1046,64,0.04394705469567184,1.0449270294442707,-11.527635715657068,-3.102277103733263
internal,131072,"[27, 0]",favor_plus,1046,128,0.011170792870195984,1.0112334191547119,-11.901192310488288,-4.487655294596115
internal,131072,"[27, 0]",favor_plus,1083,16,0.0007059557242939731,1.0007062049696849,-13.096367311653738,-7.249808616756519
internal,131072,"[27, 0]",favor_plus,1083,32,0.018621901716352918,1.0187963706264047,-8.075565538181436,-3.9415308488748195
internal,131072,"[27, 0]",favor_plus,1083,64,0.004530300806791883,1.0045405781334247,-8.758840766552893,-5.3278056448617
internal,131072,"[27, 0]",favor_plus,1083,128,0.0010559755431242173,1.0010565332816002,-9.45064552770484,-6.713990403806479
internal,131072,"[27, 0]",favor_plus,1120,16,6.140913350592723e-05,1.0000614110190853,-12.170019089039545,-9.54193068593464
internal,131072,"[27, 0]",favor_plus,1120,32,9.860648875579724e-06,1.0000098606974919,-12.339272657315632,-10.8916181930015
internal,131072,"[27, 0]",favor_plus,1120,64,-2.900455066115166e-07,0.9999997099545355,-12.887709770183896,-12.253617753607601
internal,131072,"[27, 0]",favor_plus,1120,128,-9.665754505853475e-07,0.9999990334250165,-13.390574657970788,-13.077194156827586
internal,131072,"[27, 0]",favor_plus,1157,16,-2.507923870852848e-08,0.9999999749207616,-17.144508421278957,-16.88212147566786
internal,131072,"[27, 0]",favor_plus,1157,32,-1.0387087551316636e-07,0.9999998961291299,-16.61902953346077,-17.87128679106794
internal,131072,"[27, 0]",favor_plus,1157,64,0.022379661870587514,1.0226319651418838,-10.691067878314037,-3.7863838182996687
internal,131072,"[27, 0]",favor_plus,1157,128,0.005630144932736467,1.0056460239851868,-11.354253447410056,-5.1726608649760735
internal,131072,"[27, 0]",centered_favor_plus,1009,16,2.5392073776283857,12.669624761908617,-5.85678446814652,2.4574794061417435
internal,131072,"[27, 0]",centered_favor_plus,1009,32,1.5190403194983715,4.5678394245791765,-5.437916185455773,1.2743948727177123
internal,131072,"[27, 0]",centered_favor_plus,1009,64,9.121269476431456,9147.807173982066,-1.4200840081309707,9.12121300091173
internal,131072,"[27, 0]",centered_favor_plus,1009,128,7.9271111336496025,2771.4089987088046,-1.9313183779867558,7.9268548823869125
internal,131072,"[27, 0]",centered_favor_plus,1046,16,0.1836313386334562,1.201572767974023,-6.104304953641895,-1.5796886718391026
internal,131072,"[27, 0]",centered_favor_plus,1046,32,5.9065081242944615,367.4209245818741,-4.210662861732667,5.903863717269406
internal,131072,"[27, 0]",centered_favor_plus,1046,64,6.6434615970715925,767.7480328355899,-3.4317284918325868,6.6422425666587515
internal,131072,"[27, 0]",centered_favor_plus,1046,128,5.453059661079568,233.47141760664599,-2.6896552560363585,5.4493513070849815
internal,131072,"[27, 0]",centered_favor_plus,1083,16,6.719787257229293,828.6412053022643,-4.52851649932691,6.718605823447454
internal,131072,"[27, 0]",centered_favor_plus,1083,32,5.337457683981349,207.98327836242942,-4.900832882564789,5.332709900131512
internal,131072,"[27, 0]",centered_favor_plus,1083,64,3.9852253842620873,53.79741320186684,-3.220043189037229,3.9679745109613656
internal,131072,"[27, 0]",centered_favor_plus,1083,128,2.8007284336102067,16.456629968465084,-3.6829310524272287,2.7412869095339225
internal,131072,"[27, 0]",centered_favor_plus,1120,16,9.815416422476064,18313.914818274887,-1.400016253668161,9.815388748376552
internal,131072,"[27, 0]",centered_favor_plus,1120,32,8.429297140738568,4579.280371968292,-2.0703642495579757,8.42913384403316
internal,131072,"[27, 0]",centered_favor_plus,1120,64,7.045203351093414,1147.3421253709244,-2.5976498529921486,7.044461271517676
internal,131072,"[27, 0]",centered_favor_plus,1120,128,5.692932344006844,296.76255591156126,-3.0030573293921528,5.689892541561115
internal,131072,"[27, 0]",centered_favor_plus,1157,16,5.073626373390825,159.75260077244602,-3.4022890517134403,5.067766414939285
internal,131072,"[27, 0]",centered_favor_plus,1157,32,3.8640600530885303,47.65845495542296,-3.872086356826273,3.843745979426984
internal,131072,"[27, 0]",centered_favor_plus,1157,64,4.34027102587594,76.72833188386763,-2.770359438350935,4.328805309871619
internal,131072,"[27, 0]",centered_favor_plus,1157,128,3.1407541794976064,23.121297893660834,-3.245049590493773,3.100057655734844
internal,131072,"[27, 0]",sderf,1009,16,6.340365362015315,567.0034350594534,-2.9367366723004427,6.338787543793021
internal,131072,"[27, 0]",sderf,1009,32,7.049366559498088,1152.1287066043774,-2.344143320843573,7.048664880196711
internal,131072,"[27, 0]",sderf,1009,64,7.513872390204947,1833.2990643498574,-0.7779677218546457,7.513828030465117
internal,131072,"[27, 0]",sderf,1009,128,6.795759226767007,894.0477870017172,-1.2364386152248983,6.7952902753636835
internal,131072,"[27, 0]",sderf,1046,16,8.10497632624671,3310.90328279655,-0.3063723664418081,8.105118943296041
internal,131072,"[27, 0]",sderf,1046,32,6.722671296430823,831.0344885247956,-0.9829421927368802,6.722368515830972
internal,131072,"[27, 0]",sderf,1046,64,5.531668188156039,252.56488554422845,-1.4177719668559412,5.529625067800065
internal,131072,"[27, 0]",sderf,1046,128,8.51040311817551,4966.164636094342,-1.673901282892869,8.5102772642839
internal,131072,"[27, 0]",sderf,1083,16,8.849675028296431,6972.122859271745,-3.0512573250333155,8.849545159678414
internal,131072,"[27, 0]",sderf,1083,32,7.465087095644457,1746.0076112582021,-3.6904029685999706,7.464542805520189
internal,131072,"[27, 0]",sderf,1083,64,8.333611052314549,4161.417549551624,-0.15076339746908474,8.333784079900504
internal,131072,"[27, 0]",sderf,1083,128,6.98679914048013,1082.2517902140196,-0.7318596240165114,6.986764053118847
internal,131072,"[27, 0]",sderf,1120,16,5.824374667887877,338.4494235975529,-4.2820954745859225,5.821497510870522
internal,131072,"[27, 0]",sderf,1120,32,4.4908697053680084,89.19898899348789,-4.831053285318818,4.479776395605011
internal,131072,"[27, 0]",sderf,1120,64,3.6235533730119425,37.470478127982304,-4.575819381972817,3.5970676784523015
internal,131072,"[27, 0]",sderf,1120,128,5.554468047352768,258.3894769890865,-2.9799794942593145,5.550985019462612
internal,131072,"[27, 0]",sderf,1157,16,4.310277913405123,74.46117982510985,-2.1418036987627698,4.299949411961585
internal,131072,"[27, 0]",sderf,1157,32,5.313501142316358,203.0599269884259,-2.522313073358612,5.309358559690228
internal,131072,"[27, 0]",sderf,1157,64,4.451273752412016,85.73608102067145,-2.656355130207741,4.441197120910736
internal,131072,"[27, 0]",sderf,1157,128,10.517135567250742,36943.1516150338,-0.4653184696972801,10.517142493278783
internal,131072,"[27, 0]",aderf,1009,16,5.607610867541452,272.49243916679086,-4.392613934052916,5.60402540028462
internal,131072,"[27, 0]",aderf,1009,32,4.2330587058158615,68.92773974779675,-5.05375823393336,4.2186324741783885
internal,131072,"[27, 0]",aderf,1009,64,2.9967863772322847,20.021093188816717,-5.682358688290766,2.9459065450088566
internal,131072,"[27, 0]",aderf,1009,128,1.779021731975616,5.924058266203597,-6.1393978185585105,1.5950084485504465
internal,131072,"[27, 0]",aderf,1046,16,2.735462383748472,15.416870298407938,-5.884153474285719,2.6687850982308063
internal,131072,"[27, 0]",aderf,1046,32,1.5870430010036833,4.889269965357003,-6.179909529440368,1.3592856874297947
internal,131072,"[27, 0]",aderf,1046,64,0.741229621754168,2.098514307543415,-6.824376427844584,0.09593563379599246
internal,131072,"[27, 0]",aderf,1046,128,2.618709788257112,13.718013020857178,-6.07083095170911,2.5433824176413715
