dataset,factor2,head,head_index,idiv_per_mass,logcosh,m,method,output_nmse,row_l1,seed_count,seed_max,seed_mean,seed_median,seed_min,source
internal,0.018602371215820312,L14H6,1,7.028283959316276,6.256168374287407,32,aderf_orf,,,10,1002.4883799698914,110.62771009533961,4.814384468746664,1.0929535029468749,product
internal,0.04604759216308594,L27H0,2,10.071852653372805,4.2301134007167045,32,aderf_orf,,,10,3.7898532412985064,1.4773441836469627,1.0277075965171036,1.0003612513615803,product
internal,0.010207557678222656,L27H6,3,13.54163346723306,7.399371392702593,32,aderf_orf,,,10,81478.57633493979,8148.85237555333,1.007417471269696,1.0000081913222414,product
internal,0.01537942886352539,L14H0,0,8.611420635751491,6.393708394639561,32,balanced_orf,,,10,24.746261067672798,3.6373028588262946,0.9998394947845544,0.9871731425462427,product
internal,0.022087955474853517,L14H6,1,6.70933642340852,5.4651714290627265,32,balanced_orf,,,10,148.33167118685955,17.26628790675632,1.2364073308364834,0.9864695609041796,product
internal,0.10813798904418945,L27H0,2,4.097995469102165,2.2606152116875093,32,balanced_orf,,,10,137.5838982229951,22.57955280462587,7.547983793498602,1.124973119393155,product
internal,0.11658935546875,L27H6,3,3.6104506714010802,2.2183990660817785,32,balanced_orf,,,10,676.5021851748972,155.06844333065894,39.15613917047635,1.7024971583119268,product
internal,0.018761920928955077,L14H0,0,9.103516492842243,6.73561578044603,32,balanced_sderf_orf,,,10,6.613877686000476,2.340675652123727,1.0127407563904467,0.9950530211016989,product
internal,0.029029655456542968,L14H6,1,19.327249880854794,5.5347042758121985,32,balanced_sderf_orf,,,10,43968876.96800142,4396968.384318274,32.48891486604548,2.271424729688223,product
internal,0.12171144485473633,L27H0,2,3.804255788347164,2.190789817620462,32,balanced_sderf_orf,,,10,128.24580735438892,26.41912685476126,13.288596270550105,2.755221746139788,product
internal,0.10629901885986329,L27H6,3,3.8222862481733357,2.4176319709962244,32,balanced_sderf_orf,,,10,2934.2604913335663,645.3630995146515,63.55422259100996,1.986678798013852,product
internal,0.018358707427978516,L14H0,0,9.858306275911662,6.6367134928052,32,balanced_sderf_sobol,,,10,318.6735005909092,33.824473367488025,1.319489504403558,0.9988471403641349,product
