dataset,samples_per_marginal,pairs_per_head,head,m,signed_floor_lower,signed_floor_upper,compression_residual_fraction,positive_nmse,partition_projection_nmse,mean_estimation_gap,positive_idiv_per_mass,train_galerkin_signed_nmse,train_anchor_nystrom_signed_nmse,log_raw_second_moment
official,2560,6553600,L14H6,32,0.0015656837935894546,0.1736895238931537,0.17212384009956425,0.29801298721206826,0.2964815629275017,0.0015314242845665695,0.4649970181798596,0.2889575862350873,0.2858559293911371,-0.5966248906652236
official,2560,6553600,L14H6,64,0.00030159931243474295,0.17242543941199873,0.172123840099564,0.29767273450610937,0.2930517011828402,0.0046210333232689915,0.42566293472601086,0.2877436478562815,0.2890939154471682,-0.5966248906652236
official,2560,6553600,L14H6,128,2.396282924522727e-05,0.17214780292880913,0.1721238400995639,0.2974135486673197,0.29056614080152965,0.006847407865789831,0.39182808639319183,0.28763933773531963,0.293116504694382,-0.5966248906652236
official,2560,6553600,L27H0,16,0.014026674600211467,0.09292751816027756,0.07890084356006609,0.6417210655802166,0.5395971510792827,0.1021239145009338,0.9047838345674711,0.24314168875213926,0.35347069910795276,13.126046716954013
official,2560,6553600,L27H0,32,0.004996382437183617,0.08389722599724947,0.07890084356006585,0.6262513207382268,0.5078561089608584,0.11839521177736828,0.8166612605627495,0.21083650023264255,0.3004654474515548,13.126046716954013
official,2560,6553600,L27H0,64,0.0012877260963139756,0.08018856965637987,0.0789008435600659,0.6106315271327407,0.4677497804074088,0.1428817467253319,0.7204855784839904,0.1933648808760737,0.24606340157397355,13.126046716954013
official,2560,6553600,L27H0,128,0.00013769810057417286,0.07903854166063996,0.07890084356006578,0.5998538722100971,0.39387690687614685,0.2059769653339503,0.6669361289344515,0.19261578465452045,0.25080027003267763,13.126046716954013
official,2560,6553600,L27H6,16,0.0047627924623937805,0.08688246857857142,0.08211967611617764,0.49606537384692706,0.44649530764737766,0.04957006619954947,0.7670808416577986,0.19017294531006926,0.2638984341737677,19.110928694948647
official,2560,6553600,L27H6,32,0.0014517280090898957,0.08357140412526741,0.08211967611617751,0.4885134950283702,0.42584382857480463,0.06266966645356555,0.6628342469017902,0.1672229592128681,0.24278315740524792,19.110928694948647
official,2560,6553600,L27H6,64,0.0003271010663560356,0.0824467771825338,0.08211967611617776,0.4781969673946127,0.41085826152703575,0.06733870586757705,0.6235961749737258,0.16040639640785642,0.22368163424705495,19.110928694948647
