source,m,method,layer,head,relative_error,log_absolute_mse
product,128,NMF,7,0,3.0476260130552147e-05,-10.456842142396692
product,128,NMF,7,3,6.09471500236069e-06,-13.650621058771128
product,128,NMF,7,6,1.5948852822153984e-07,28.192925274825555
product,128,NMF,7,9,6.875548195483867e-06,12.127268242678086
product,128,NMF,14,0,2.022377206397206e-06,-12.825320134281997
product,128,NMF,14,3,7.869413258290146e-09,-4.825087356173523
product,128,NMF,14,6,0.0001103412791340164,-11.200597890397491
product,128,NMF,14,9,4.810335646781495e-06,-13.783214067017838
product,128,NMF,27,0,0.0008169174489531177,4.009284526640835
product,128,NMF,27,3,0.0010329814704681454,4.761193065765502
product,128,NMF,27,6,0.00039159839507576355,8.755003947197759
product,128,NMF,27,9,0.004543903996547282,6.5823168318742145
product,128,FAVOR_plus,0,0,1.0,4191.436673925971
product,128,FAVOR_plus,0,3,1.0,48516.048081540495
product,128,FAVOR_plus,0,6,1.0,7821.488646390419
product,128,FAVOR_plus,0,9,1.0,243.6333135877305
product,128,FAVOR_plus,7,0,0.9978180696549225,-0.06046392281720259
product,128,FAVOR_plus,7,3,1.0279225288600025,-1.6149927002330458
product,128,FAVOR_plus,7,6,1.0,43.8442191155096
product,128,FAVOR_plus,7,9,1.0,24.014807422743672
product,128,FAVOR_plus,14,0,0.9989257072496404,0.28484189912995994
product,128,FAVOR_plus,14,3,0.999999999722291,13.835194975064978
product,128,FAVOR_plus,14,6,1.13220213659187,-1.9645009031356313
product,128,FAVOR_plus,14,9,1.0517217823011624,-1.4880417579271423
product,128,FAVOR_plus,27,0,1.6728350275499253,11.633776844908967
product,128,FAVOR_plus,27,3,3.2533702663568818,12.816190556418606
product,128,FAVOR_plus,27,6,1.0000475000551217,16.600325191817603
product,128,FAVOR_plus,27,9,1.4684363402122185,12.360483677684991
product,128,centered_FAVOR_plus,0,0,0.9999999995704454,4191.436673925542
product,128,centered_FAVOR_plus,0,3,1.0,48516.048081540495
product,128,centered_FAVOR_plus,0,6,1.0,7821.488646390419
product,128,centered_FAVOR_plus,0,9,1.0130984558796514,243.64632700065292
product,128,centered_FAVOR_plus,7,0,3.856328928530452,1.2914360675584913
product,128,centered_FAVOR_plus,7,3,1.4869333938034581,-1.2458166292515287
product,128,centered_FAVOR_plus,7,6,4.376657955742722,45.3205045248441
product,128,centered_FAVOR_plus,7,9,5.929357674564001,25.79472331193776
product,128,centered_FAVOR_plus,14,0,5.37068951782203,1.9668730714534117
product,128,centered_FAVOR_plus,14,3,1.0000139835449326,13.83520895878985
product,128,centered_FAVOR_plus,14,6,2.481561550602545,-1.1797774133427037
product,128,centered_FAVOR_plus,14,9,2.2482071627628373,-0.7283372897328704
product,128,centered_FAVOR_plus,27,0,321.9073825163548,16.893520908756834
product,128,centered_FAVOR_plus,27,3,2186532.9822448823,26.23432682657713
product,128,centered_FAVOR_plus,27,6,14.039535070132263,19.242154976276993
product,128,centered_FAVOR_plus,27,9,21617.83003985487,21.957559275152747
same_context,16,SVD,0,0,2.984259882943531e-07,4178.028714818803
same_context,16,SVD,0,3,8.634048598289162e-16,48479.121807336385
same_context,16,SVD,0,6,9.999999999996826e-301,7643.384267706004
same_context,16,SVD,0,9,0.0010673741701814465,237.39763643826163
same_context,16,SVD,7,0,0.0007054158053052855,-7.208852384210941
same_context,16,SVD,7,3,7.263031742254929e-05,-11.104206661539186
same_context,16,SVD,7,6,9.489763500188602e-06,30.81598461332856
same_context,16,SVD,7,9,0.0008273605613513432,15.377922014155123
same_context,16,SVD,14,0,0.012178676446032937,-3.9762321102062437
same_context,16,SVD,14,3,0.00039132617286761253,7.602533553405168
same_context,16,SVD,14,6,0.00484163059398236,-6.933632998334308
same_context,16,SVD,14,9,9.043156730875306e-05,-10.873220235204922
same_context,16,SVD,27,0,0.023510300415480283,6.825386061533807
same_context,16,SVD,27,3,0.0497426001074555,7.323914343471978
same_context,16,SVD,27,6,0.032853352836660805,11.4897261481458
same_context,16,SVD,27,9,0.05821931459953978,8.594651455317168
same_context,16,NMF,0,0,4.667315623757134e-06,4180.778532234621
same_context,16,NMF,0,3,3.0604252836871833e-14,48482.68981788445
same_context,16,NMF,0,6,1.9092506793660434e-38,8247.30827292106
same_context,16,NMF,0,9,0.0011253277962438354,237.45050922010898
same_context,16,NMF,7,0,0.0007778040002627444,-7.111165243165474
same_context,16,NMF,7,3,7.506925770841016e-05,-11.071177968009563
same_context,16,NMF,7,6,1.5948361783203307e-05,31.33512703640566
same_context,16,NMF,7,9,0.000986424718691503,15.553768438059313
same_context,16,NMF,14,0,0.012188570281641397,-3.975420049963022
same_context,16,NMF,14,3,0.00046572979179689087,7.776597759485776
same_context,16,NMF,14,6,0.005125138024991795,-6.876727105540523
same_context,16,NMF,14,9,0.00010448252126733953,-10.728793840726013
same_context,16,NMF,27,0,0.026292146932628588,6.93721771974114
same_context,16,NMF,27,3,0.05554417648421951,7.4342313093119525
same_context,16,NMF,27,6,0.03707483511901463,11.610610784166427
same_context,16,NMF,27,9,0.06520028767062624,8.707898170712676
same_context,16,FAVOR_plus,0,0,1.0,4193.0534586990725
same_context,16,FAVOR_plus,0,3,1.0,48513.80745529846
same_context,16,FAVOR_plus,0,6,1.0,8334.159795604219
same_context,16,FAVOR_plus,0,9,0.9999999999999432,244.240190131437
same_context,16,FAVOR_plus,7,0,1.0013110648527475,0.04918095620004337
same_context,16,FAVOR_plus,7,3,1.0399790167065301,-1.5348779968828907
same_context,16,FAVOR_plus,7,6,1.0,42.3812814799311
same_context,16,FAVOR_plus,7,9,1.0,22.47519198498673
same_context,16,FAVOR_plus,14,0,0.9998907493992096,0.43172732200101827
same_context,16,FAVOR_plus,14,3,1.0000000015078627,15.448502698937352
same_context,16,FAVOR_plus,14,6,1.0001250658920335,-1.603004224853974
same_context,16,FAVOR_plus,14,9,2.0749746808419682,-0.8323541279730229
same_context,16,FAVOR_plus,27,0,1.000319162846323,10.576021811770376
same_context,16,FAVOR_plus,27,3,0.9999815516881115,10.32478946298926
same_context,16,FAVOR_plus,27,6,1.0000026660162968,14.905430288375397
same_context,16,FAVOR_plus,27,9,1.0000505918542872,11.438240159220333
same_context,16,centered_FAVOR_plus,0,0,0.9999999999488862,4193.053458699022
same_context,16,centered_FAVOR_plus,0,3,1.0,48513.80745529846
same_context,16,centered_FAVOR_plus,0,6,1.0,8334.159795604219
same_context,16,centered_FAVOR_plus,0,9,1.0120533367791538,244.25217140524072
same_context,16,centered_FAVOR_plus,7,0,19.453322489127057,3.0158886275814805
same_context,16,centered_FAVOR_plus,7,3,2.049506278990959,-0.8564796089616902
same_context,16,centered_FAVOR_plus,7,6,123.1223748745361,47.194460258380104
same_context,16,centered_FAVOR_plus,7,9,1.2329330152128135,22.684587881020697
same_context,16,centered_FAVOR_plus,14,0,2.24004287627749,1.2383315854491563
same_context,16,centered_FAVOR_plus,14,3,1.0000022797731958,15.448504977200086
same_context,16,centered_FAVOR_plus,14,6,1.723856500164948,-1.0585653507120316
same_context,16,centered_FAVOR_plus,14,9,4.806240763181857,0.007612152857877419
same_context,16,centered_FAVOR_plus,27,0,139.9874777731471,15.517255673977067
same_context,16,centered_FAVOR_plus,27,3,167.52497264408575,15.445940342036023
same_context,16,centered_FAVOR_plus,27,6,1503.7232924002922,22.221127128829018
same_context,16,centered_FAVOR_plus,27,9,476.82327682786035,17.605335502055688
same_context,32,SVD,0,0,1.3298063661064844e-31,4121.958354158498
same_context,32,SVD,0,3,2.163544768605568e-31,48443.19906538879
same_context,32,SVD,0,6,9.999999999996826e-301,7643.384267706004
same_context,32,SVD,0,9,1.7226046789138429e-31,173.40388974218376
same_context,32,SVD,7,0,0.0003035951373066167,-8.05194477930533
same_context,32,SVD,7,3,4.319592775122003e-05,-11.623842865764399
same_context,32,SVD,7,6,7.705491278633043e-07,28.305119056728827
same_context,32,SVD,7,9,0.0002393764048477709,14.137718655755892
