dataset,method,seeds,raw_nmse,raw_nmse_seed_range,balanced,balanced_seed_range,directional_kl,directional_kl_seed_range,mass,mass_seed_range,output_nmse,output_nmse_seed_range
fresh_wiki3,sderf,5,98.12694831415811,"[2.1532426185814604, 432.58297634235953]",8.506042115657184,"[8.02687143359669, 8.851244212027689]",2.875859534996549,"[2.7588379774333385, 2.9891330492296024]",5.630182580660635,"[5.0377383843670875, 5.935591690995034]",3.0042779293686594,"[2.2501442581575564, 3.91113924365459]"
official,balanced,3,0.9298800441783052,"[0.9296648416706186, 0.9301061401964478]",0.3685820972244689,"[0.36512249085654175, 0.37067124960465064]",0.32839098637116987,"[0.32498422209490585, 0.33052186073650797]",0.04019111085329905,"[0.0401382687616359, 0.0402856749301186]",0.25453042573334,"[0.2526167693736053, 0.2562576377859133]"
official,exp_control,3,7243728979.616092,"[371814395.6355741, 16120684682.609238]",8397.724399589091,"[4116.140911304071, 11651.973318411405]",0.2349756028325044,"[0.23477776208265516, 0.23512416120496196]",8397.48942398626,"[4115.905787142866, 11651.73854064932]",0.1916535392734711,"[0.1876076138170722, 0.19468317892606846]"
official,factorized,3,0.7761572919382725,"[0.7620467114001493, 0.7947784978585692]",0.32280008531262244,"[0.31928964882844724, 0.32828201901122733]",0.2964463094083302,"[0.2934150954385516, 0.3019435051254825]",0.02635377590429223,"[0.02587455338989566, 0.02684826043723626]",0.22291109211699967,"[0.21781716883485538, 0.23245276032077922]"
official,factorized_both,3,0.7850307812642544,"[0.7737193092000886, 0.7972904769290168]",0.28492015348456523,"[0.2840976033484106, 0.2855367297201809]",0.259534067523756,"[0.2589132992637324, 0.26010251382904515]",0.025386085960809227,"[0.025023613556059022, 0.025950340241690496]",0.20235182811139432,"[0.20002188242748475, 0.20521275988243587]"
official,half,3,0.8984878661173551,"[0.8958447932658785, 0.9004177824549048]",0.3762650688665307,"[0.3742050026765643, 0.37754042837999674]",0.3363898806811587,"[0.3345935380113856, 0.3377367552769756]",0.03987518818537206,"[0.03961146466517873, 0.040210426787916254]",0.25312325987075673,"[0.24967191151537627, 0.25582555377562893]"
official,kl_control,3,0.9717847361867507,"[0.9716001286442846, 0.9719421456987067]",1.1201173388255294,"[1.1173474168394277, 1.1225955132462633]",0.24421624584513946,"[0.24192414930167064, 0.24646936088139274]",0.8759010929803899,"[0.8730921894870727, 0.8806713639445927]",0.19549794635671533,"[0.19339341788484024, 0.197274953340309]"
official,logcosh,1,0.991783915995732,"[0.991783915995732, 0.991783915995732]",1.5652340358716788,"[1.5652340358716788, 1.5652340358716788]",0.4288910174330588,"[0.4288910174330588, 0.4288910174330588]",1.1363430184386198,"[1.1363430184386198, 1.1363430184386198]",0.43438628748268704,"[0.43438628748268704, 0.43438628748268704]"
official,raw,3,0.8644217356464307,"[0.8618881424599145, 0.8685449047884884]",0.5570988704866382,"[0.5551944866415659, 0.5580718690079021]",0.4769152470346132,"[0.4737176020641164, 0.4806629483591616]",0.08018362345202502,"[0.07736730745128508, 0.08170667832734047]",0.31066182445117846,"[0.30832825656755003, 0.3129920528893558]"
official,value,3,0.9384785432693371,"[0.9382406068156522, 0.9388714334148389]",0.4455853403993242,"[0.4395897260746212, 0.4505909034944084]",0.3813938633317195,"[0.37582813993631714, 0.38566343327484265]",0.06419147706760468,"[0.06376158613830409, 0.06492747021956577]",0.3160168585237655,"[0.31293622852401576, 0.3208351045665148]"
swde,balanced,3,0.845357731222565,"[0.844528861108572, 0.8461219663011443]",0.5140049488899714,"[0.5090959900092265, 0.5175177883386514]",0.39000350174435144,"[0.3886201261215208, 0.3910667383179361]",0.1240014471456199,"[0.1180292516912903, 0.12719414754505398]",0.3287001305491831,"[0.3261406912457786, 0.3312129489590664]"
swde,exp_control,3,800152752.9211477,"[99367259.91154441, 1741027438.3792007]",2161.66761238168,"[2053.1475961921237, 2313.1598032342577]",0.3244140386953622,"[0.31902504239593865, 0.32804328394718707]",2161.343198342985,"[2052.8285711497274, 2312.8336294445153]",0.302529095644683,"[0.30010446693370485, 0.3040994067427393]"
swde,factorized,3,0.765351084348012,"[0.7561282763136177, 0.7790531292600069]",0.49872729433394186,"[0.49620018880841243, 0.5012025685633452]",0.38662258042464487,"[0.38544364134857817, 0.38890910331704037]",0.11210471390929704,"[0.11075654745983432, 0.11326412902175184]",0.3315876818153174,"[0.3282803137601894, 0.33469341270087805]"
swde,factorized_both,3,0.7544439293252937,"[0.7496283951822748, 0.7637449009111386]",0.4505672246207267,"[0.4449969893368567, 0.4550805414058335]",0.3377593104345711,"[0.3363519825953063, 0.33932600727210177]",0.11280791418615566,"[0.1073970479005516, 0.11872855881052721]",0.3074981749726373,"[0.30723435612894817, 0.30795103337292185]"
swde,half,3,0.8083716376272486,"[0.8079661962680771, 0.8088952080357086]",0.537099638134113,"[0.5320077929460183, 0.5410233050306179]",0.4021277435050364,"[0.39805449185720204, 0.4061058505095346]",0.13497189462907663,"[0.13216196591616836, 0.13880041688224534]",0.32815544835663557,"[0.3266410449134085, 0.3304499016709258]"
swde,kl_control,3,0.9663969891676655,"[0.965997012659051, 0.9671596832014853]",1.3816411034278877,"[1.3757040700655887, 1.3898884030803071]",0.3353734920225307,"[0.3329369523294165, 0.3373386760904775]",1.046267611405357,"[1.0383653939751112, 1.0569514507508906]",0.302362679285633,"[0.2996043029217191, 0.30507462503915617]"
swde,logcosh,1,0.9480350794911556,"[0.9480350794911556, 0.9480350794911556]",1.743054119310639,"[1.743054119310639, 1.743054119310639]",0.43492495770211603,"[0.43492495770211603, 0.43492495770211603]",1.308129161608523,"[1.308129161608523, 1.308129161608523]",0.38907864581135465,"[0.38907864581135465, 0.38907864581135465]"
swde,raw,3,0.8439147055767632,"[0.8365813634220718, 0.8547735542226436]",0.733458707864926,"[0.7235709810500878, 0.7389702509431361]",0.5257048374430402,"[0.5193509607573317, 0.5365374103709046]",0.20775387042188576,"[0.2012974812306494, 0.21774410974225178]",0.3855671925947863,"[0.3798660069406179, 0.3905735700974336]"
swde,value,3,0.8631628419591969,"[0.8618125939889439, 0.8647167670103355]",0.6003440696334348,"[0.5963823723861819, 0.6035520562234332]",0.4307829150953628,"[0.42910914728518906, 0.43313277747323564]",0.16956115453807188,"[0.16727322510099274, 0.17099095976302542]",0.36074540842447256,"[0.36008707396508477, 0.3610776115017838]"
