folder,objective,method,m,steps,split,metric,layer,head,seeds,documents,mean,seed_std,parameters,training_seconds,feature_pair_ms
fits,raw,kan_positive,64,2000,test,nonpositive_denominator_fraction,14,0,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,nonpositive_denominator_fraction,14,6,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,nonpositive_denominator_fraction,27,0,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,nonpositive_denominator_fraction,27,6,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,top1_agreement,14,0,3,20,0.82822265625,0.0002583741514711472,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,top1_agreement,14,6,3,20,0.89365234375,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,top1_agreement,27,0,3,20,0.035351562499999996,0.00542673593337883,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test,top1_agreement,27,6,3,20,0.013216145833333333,0.007591059287849993,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,kernel_nmse,14,0,3,8,0.9625639319419861,0.006750877442996161,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,kernel_nmse,14,6,3,8,0.8291768978039423,0.006652601206119437,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,kernel_nmse,27,0,3,8,1.1007794588804245,0.10996070016238413,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,kernel_nmse,27,6,3,8,0.9931148961186409,0.01404405004033286,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,attention_nmse,14,0,3,8,0.6132328286767006,0.07117079257767048,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,attention_nmse,14,6,3,8,0.49049332924187183,0.14407472228736817,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,attention_nmse,27,0,3,8,0.9481679474314054,0.0056516884647363095,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,attention_nmse,27,6,3,8,0.9468744869033495,0.007387162321844089,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,output_nmse,14,0,3,8,1.682757208744685,0.14193914884899392,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,output_nmse,14,6,3,8,1.1830642372369766,0.23302378842708998,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,output_nmse,27,0,3,8,0.3065372680624326,0.006871335948494103,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,output_nmse,27,6,3,8,0.4307319161792596,0.012021323020793971,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,row_l1,14,0,3,8,1.5462188671032588,0.08020068899830184,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,row_l1,14,6,3,8,1.3726573437452316,0.11842350055495521,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,row_l1,27,0,3,8,1.249283676346143,0.01827421047781598,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,row_l1,27,6,3,8,1.2417307446400325,0.010725969777056232,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,negative_fraction,14,0,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,negative_fraction,14,6,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,negative_fraction,27,0,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,negative_fraction,27,6,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,nonpositive_denominator_fraction,14,0,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,nonpositive_denominator_fraction,14,6,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,nonpositive_denominator_fraction,27,0,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,nonpositive_denominator_fraction,27,6,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,top1_agreement,14,0,3,8,0.8339029947916666,0.0001409546555638735,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,top1_agreement,14,6,3,8,0.88232421875,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,top1_agreement,27,0,3,8,0.005696614583333333,0.0022684504988226485,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_long,top1_agreement,27,6,3,8,0.002197265625,0.0012685919000748613,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,kernel_nmse,14,0,3,8,0.8481922919551531,0.0009117121865640777,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,kernel_nmse,14,6,3,8,0.8557669818401337,0.0023077046588348368,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,kernel_nmse,27,0,3,8,0.870199573536714,0.005898427257923752,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,kernel_nmse,27,6,3,8,0.8566803708672523,0.006806938892321067,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,attention_nmse,14,0,3,8,0.25838912775119144,0.060327916553804865,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,attention_nmse,14,6,3,8,0.23753294410804907,0.033607337934627446,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,attention_nmse,27,0,3,8,0.8419904559850693,0.02264847520731266,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,attention_nmse,27,6,3,8,0.8419525449474653,0.015313452237772305,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,output_nmse,14,0,3,8,1.1815114865700405,0.2626157630003903,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,output_nmse,14,6,3,8,0.7286410306890806,0.049316355399396924,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,output_nmse,27,0,3,8,0.24060841153065363,0.011623556880672854,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,output_nmse,27,6,3,8,0.4054170393695434,0.02054579811657911,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,row_l1,14,0,3,8,0.9581247096260389,0.15872746733104653,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,row_l1,14,6,3,8,1.0018794561425846,0.08336503883013215,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,row_l1,27,0,3,8,1.0624835416674614,0.04984620989038424,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,row_l1,27,6,3,8,1.0934743980566661,0.035720997813207575,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,negative_fraction,14,0,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,negative_fraction,14,6,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,negative_fraction,27,0,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,negative_fraction,27,6,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,nonpositive_denominator_fraction,14,0,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,nonpositive_denominator_fraction,14,6,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,nonpositive_denominator_fraction,27,0,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,nonpositive_denominator_fraction,27,6,3,8,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,top1_agreement,14,0,3,8,0.855712890625,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,top1_agreement,14,6,3,8,0.8994140625,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,top1_agreement,27,0,3,8,0.04638671875,0.0012918707573557572,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,ood,top1_agreement,27,6,3,8,0.02392578125,0.00452154765074515,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,kernel_nmse,14,0,3,20,0.5496974353988966,0.021076986038956004,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,kernel_nmse,14,6,3,20,0.6693766045073667,0.0031493500544403103,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,kernel_nmse,27,0,3,20,0.884690115849177,0.008024789791570907,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,kernel_nmse,27,6,3,20,0.8942155470450719,0.02263709592373895,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,attention_nmse,14,0,3,20,0.1411022967348496,0.038761623047978755,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,attention_nmse,14,6,3,20,0.20218100684384507,0.0606317106221868,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,attention_nmse,27,0,3,20,0.8061710278193156,0.018088512165025127,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,attention_nmse,27,6,3,20,0.8199317336082458,0.022678949744052986,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,output_nmse,14,0,3,20,1.6289032687743505,0.35549053007500725,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,output_nmse,14,6,3,20,0.6229627216855685,0.14280702599292466,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,output_nmse,27,0,3,20,0.29039814447363216,0.010517624599208027,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,output_nmse,27,6,3,20,0.4877016216516495,0.02490327313819148,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,row_l1,14,0,3,20,0.695322414735953,0.13970611515611164,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,row_l1,14,6,3,20,0.8956717451413473,0.12069200819130585,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,row_l1,27,0,3,20,1.0133119602998097,0.035638517316850506,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,row_l1,27,6,3,20,1.0532639622688293,0.035431349467586325,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,negative_fraction,14,0,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,negative_fraction,14,6,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,negative_fraction,27,0,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,negative_fraction,27,6,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,nonpositive_denominator_fraction,14,0,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,nonpositive_denominator_fraction,14,6,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,nonpositive_denominator_fraction,27,0,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,nonpositive_denominator_fraction,27,6,3,20,0.0,0.0,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,top1_agreement,14,0,3,20,0.9594401041666667,5.638186222556221e-05,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,top1_agreement,14,6,3,20,0.9504882812499998,1.3597399555105182e-16,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,top1_agreement,27,0,3,20,0.12167968749999998,0.00681287963929293,73888,22.641880912085373,2.069538158840603
fits,raw,kan_positive,64,2000,test_block,top1_agreement,27,6,3,20,0.068359375,0.052650758360701995,73888,22.641880912085373,2.069538158840603
fits,raw,kan_signed,64,2000,validation,kernel_nmse,14,0,3,12,0.9225254274076886,0.0004333269546302669,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,kernel_nmse,14,6,3,12,0.8424065626329846,0.0032337295195333424,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,kernel_nmse,27,0,3,12,0.9092937956253687,0.008638029840857857,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,kernel_nmse,27,6,3,12,0.8904842485984167,0.026901907005039923,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,attention_nmse,14,0,3,12,604.3999769886335,505.4640534649771,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,attention_nmse,14,6,3,12,937.8750835226641,865.6769361892283,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,attention_nmse,27,0,3,12,312.0177915294965,176.62403251239166,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,attention_nmse,27,6,3,12,27730.05259610216,47950.26979176765,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,output_nmse,14,0,3,12,1024.1711506976023,576.5392900010705,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,output_nmse,14,6,3,12,1789.5037914448314,1942.4016632388448,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,output_nmse,27,0,3,12,239.52127853201497,175.2607579406122,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,output_nmse,27,6,3,12,17401.09004000823,30022.768583008357,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,row_l1,14,0,3,12,5.180450989140405,1.2108001979102885,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,row_l1,14,6,3,12,4.248736848433812,0.9589770708866953,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,row_l1,27,0,3,12,5.360232565138076,1.4366274719731695,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,row_l1,27,6,3,12,6.024179259936015,5.748423542683809,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,negative_fraction,14,0,3,12,0.383466012775898,0.05065434115139095,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,negative_fraction,14,6,3,12,0.26389114869137603,0.0980123876975817,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,negative_fraction,27,0,3,12,0.2688627702494462,0.030323580768192634,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,negative_fraction,27,6,3,12,0.18049787854154906,0.022513952590438972,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,nonpositive_denominator_fraction,14,0,3,12,0.05430772569444444,0.030789837328768464,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,nonpositive_denominator_fraction,14,6,3,12,0.08056640625,0.03687017434364316,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,nonpositive_denominator_fraction,27,0,3,12,0.1277126736111111,0.040078189688135916,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,nonpositive_denominator_fraction,27,6,3,12,0.07194010416666667,0.03344201807096819,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,top1_agreement,14,0,3,12,0.7764756944444443,0.029838620570372877,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,top1_agreement,14,6,3,12,0.7962782118055557,0.03683758827209158,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,validation,top1_agreement,27,0,3,12,0.03135850694444444,0.002830035016437713,73888,23.08495984536906,2.089847479926215
