loss,training_documents,budget_scale,method,seed,parameters,split,metric,layer,head,value
logcosh,4096,1,kan,47,73856,validation,factor2,14,0,0.25811767578125
logcosh,4096,1,kan,47,73856,validation,factor2,14,6,0.2679443359375
logcosh,4096,1,kan,47,73856,validation,factor2,27,0,0.492645263671875
logcosh,4096,1,kan,47,73856,validation,factor2,27,6,0.477569580078125
logcosh,4096,1,kan,11,73856,validation,factor10,14,0,0.715301513671875
logcosh,4096,1,kan,11,73856,validation,factor10,14,6,0.7273406982421875
logcosh,4096,1,kan,11,73856,validation,factor10,27,0,0.947265625
logcosh,4096,1,kan,11,73856,validation,factor10,27,6,0.93511962890625
logcosh,4096,1,kan,29,73856,validation,factor10,14,0,0.71142578125
logcosh,4096,1,kan,29,73856,validation,factor10,14,6,0.7237548828125
logcosh,4096,1,kan,29,73856,validation,factor10,27,0,0.9466705322265625
logcosh,4096,1,kan,29,73856,validation,factor10,27,6,0.938934326171875
logcosh,4096,1,kan,47,73856,validation,factor10,14,0,0.711639404296875
logcosh,4096,1,kan,47,73856,validation,factor10,14,6,0.73236083984375
logcosh,4096,1,kan,47,73856,validation,factor10,27,0,0.943817138671875
logcosh,4096,1,kan,47,73856,validation,factor10,27,6,0.936370849609375
logcosh,4096,1,kan,11,73856,validation,raw_nmse,14,0,0.9217782947231822
logcosh,4096,1,kan,11,73856,validation,raw_nmse,14,6,0.9014835529758392
logcosh,4096,1,kan,11,73856,validation,raw_nmse,27,0,0.964451007584133
logcosh,4096,1,kan,11,73856,validation,raw_nmse,27,6,0.9907485594209892
logcosh,4096,1,kan,29,73856,validation,raw_nmse,14,0,0.9097498848446082
logcosh,4096,1,kan,29,73856,validation,raw_nmse,14,6,0.9246376906337426
logcosh,4096,1,kan,29,73856,validation,raw_nmse,27,0,0.967920078951949
logcosh,4096,1,kan,29,73856,validation,raw_nmse,27,6,0.9881022460848002
logcosh,4096,1,kan,47,73856,validation,raw_nmse,14,0,0.9117445946484849
